price diff / buy price, price diff, upc, title
-0.998567335243553,-6.97,858979004037,Sir Richard's Extra Large Condoms - 12 Count
-0.9966442953020135,-2.97,309975207033,Almay Shadow Softies - Seafoam
-0.9724724724724725,-19.4,711719823520,Eyepet & Friends (PlayStation 3)
-0.6753246753246753,-10.4,778988068717,Spin Master Games - What the Face Board Game
-0.4987468671679198,-3.98,746775329754,Max Steel Deluxe Power Orb Max Steel 6" Figure with DVD
-0.4785714285714286,-9.38,715699497559,Printed Panel Pencil Skirt Cobalt S - XOXO
-0.46657754010695185,-3.49,027084937190,Radica Pup Alert Motion Sensor Alarm
-0.4459876543209877,-2.89,652456001409,Golla Catch G892 Phone Pocket - Black
-0.44475394614670377,-4.79,047754577051,Avengers Super 3D Puzzle
-0.3696072118480361,-5.74,887961029598,Disney Planes Fire and Rescue - The Cornfest Is Coming! Die-Cast 4-Pack
-0.3469230769230769,-4.51,883991078667,Women's Nude by Rihanna Eau de Parfum - 1 oz
-0.3417874396135265,-5.66,011964410415,Whoozit Plush Infant Toy
-0.33404864091559366,-4.67,087918128491,Turbo Plush Decorative Pillow
-0.31799999999999995,-4.77,711719983491,HDMI Cable (PlayStation 3)
-0.31558441558441563,-4.86,807648026696,Hexbug Tagamoto Drift Playset
-0.30673143650242884,-4.42,039897762807,Disney Fairies Floral Party Dress
-0.28469241773962806,-3.98,630509237692,Star Wars The Black Series Chewbacca Figure
-0.24824473420260787,-4.95,027084925395,Fisher-Price Octonauts Gup-B and Kwazii
-0.22763684913217624,-3.41,883991001351,Women's Fairy Dust by Paris Hilton Eau de Parfum - 1.7 oz
-0.19939879759519039,-1.99,746507143634,Detroit Lions Study Buddies
-0.18846153846153854,-3.92,840832168253,Men's Wave Swim Trunks Blue - Trunks Surf & Swim L
-0.17333333333333328,-1.56,653569873280,Nerf© N-Strike Elite Mega Magnus Blaster
-0.1641221374045802,-1.72,653569991663,Star Wars™ Command Death Star Strike Set
-0.16189111747851012,-1.13,858979004013,Sir Richard's Classic Ribbed Condoms - 12 Count
-0.15671117357695014,-2.23,062243268869,Chandelier Kit
-0.14346895074946467,-1.34,778988080498,Wonderology – Science Kit – Wacky Fluid Experiment
-0.1404011461318052,-0.980,858979004006,Sir Richard's Ultra Thin Condoms - 12 Count
-0.12997512437810935,-2.09,700030002127,Toddler Girl's Rachel Shoes Lil Grace Sandals - White 5
-0.12813370473537605,-0.920,746507126439,Tennessee Titans Pillow Pet
-0.11174785100286536,-0.780,858979004044,Sir Richard's Collection Condoms - 12 Count
-0.10768398268398278,-1.99,658382211974,Hello Kitty™ Dance Time Plush - Dance
-0.10411622276029049,-2.15,715699009073,Smocked Back Romper Multi-Colored S - XOXO
-0.09942775393419175,-1.39,845218007706,Xshot Excel Xcess Dart and Disc Blaster Double Pack Shootout Set
-0.07439198855507875,-1.04,609159093279,Women's Printed Leggings Black - RBX
-0.07242339832869076,-0.780,778988080092,Would You Rather? Board Game
-0.045500000000000006,-0.910,711719818120,Starhawk (PlayStation 3)
-0.03295128939828086,-0.230,778988126523,Paw Patrol 2 Pack Figure Skye and Rocky
-0.025996533795493843,-0.300,746775130596,Fisher-Price® Imaginext SpongeBob SquarePants Krabby Patty Wagon
-0.021042084168336757,-0.210,653569990529,My Little Pony Equestria Girls Rainbow Rocks Rarity Doll with Fashions
-0.018003273322422294,-0.990,846418001631,Oopsy Daisy too Love & Nature Growth Chart - 13x39"
